id,skos:notation,skos:prefLabel,nypl:deliverableTo,nypl:eddRequestable,nypl:owner
HY,HY,HARVARD YENCHING LIBRARY,ID;NC;ND;NE;NF;NG;NH;NI;NJ;NK;NM;NP;NZ;SR;OA;OC;OD;OE;OL;OM;ON;OP;OW;OZ,true,0004
ID,ID,Inter-Library Loan (deprecated),,false,0001
IN,IN,ReCAP Inter-Library Loan,,false,0003
JC,JC,JC,ID;NC;ND;NE;NF;NG;NH;NI;NJ;NK;NM;NP;NZ;SR;OA;OC;OD;OM;ON;OP;OW;OZ,false,0002
JD,JD,JD,ID;NC;ND;NE;NF;NG;NH;NI;NJ;NK;NM;NP;NZ;SR;OA;OC;OD;OM;ON;OP;OW;OZ,false,0002
JG,,,ID;NC;ND;NE;NF;NG;NH;NI;NJ;NK;NM;NP;NZ;SR;OA;OC;OD;OM;ON;OP;OW;OZ,,
JL,JL,JL,,false,0002
JM,JM,JM,,false,0002
JN,JN,JSTOR Standard,NC;ND;NE;NF;NG;NH;NI;NJ;NK;NM;NN;NO;NP;NR;NS;NT;NV;NX;NY;NZ;SA;SM;SP;SR;IN;OA;OC;OL;ON;OW;OZ;OP;OM;OI;OD,true,0001
JO,JO,JSTOR Restricted,NC;ND;NE;NF;NG;NH;NI;NJ;NK;NM;NN;NO;NP;NR;NS;NT;NV;NX;NY;NZ;SA;SM;SP;SR;IN;OA;OC;OL;ON;OW;OZ;OP;OM;OI;OD,true,0001
JP,JP,JP,,false,0003
JQ,JQ,Princeton Dark Storage,,true,0003
JS,JS,SIBL De-duping candidates,NC;ND;NE;NF;NG;NH;NI;NJ;NK;NM;NN;NO;NP;NR;NS;NT;NV;NX;NY;NZ;SA;SM;SP;SR;IN;OA;OC;OL;ON;OW;OZ;OP;OM;OI;OD,true,0001
KL,,,ID;NC;ND;NE;NF;NG;NH;NI;NJ;NK;NM;NP;NZ;SR;OA;OC;OD;OM;ON;OP;OW;OZ,,
LD,LD,LD,,false,0002
LE,LE,Lehman Library,,false,0002
MCZ,MCZ,ERNST MAYR LIBRARY (MCZ),ID;NC;ND;NE;NF;NG;NH;NI;NJ;NK;NM;NP;NZ;SR;OA;OC;OD;OE;OL;OM;ON;OP;OW;OZ,true,0004
ML,ML,Mathematics Library,ID;NC;ND;NE;NF;NG;NH;NI;NJ;NK;NM;NP;NZ;SR;OA;OC;OD;OE;OL;OM;ON;OP;OW;OZ,false,0002
MLdupe,MLdupe,LOEB MUSIC LIBRARY,ND;NG;NH;NJ;NM;NP;SR;OA;OC;OE;OD;ON;OW,true,0004
MP,MP,Monographic Processing,,false,0002
MR,MR,Music & Arts Library,NP,false,0002
MZ,MZ,ReCAP Coordinator,,false,0002
NA,NA,NA,NC;ND;NE;NF;NG;NH;NI;NJ;NK;NM;NN;NO;NP;NR;NS;NT;NV;NX;NY;NZ;SA;SM;SP;SR;IN;OA;OC;OL;ON;OW;OZ;OP;OM;OI;OD;OE,true,0001
NB,NB,SIBL,NC;ND;NE;NF;NG;NH;NI;NJ;NK;NM;NN;NO;NP;NR;NS;NT;NV;NX;NY;NZ;SA;SM;SP;SR;IN;OA;OC;OL;ON;OW;OZ;OP;OM;OI;OD;OE,true,0001
NC,NC,LSC BookOps Cataloging,,false,0001
ND,ND,SASB Map Division,NC;ND;NI;NK;NX;NY;OZ;OI;OL,false,0001
NE,NE,NYPL Inter-Library Loan,,false,0001
NF,,,ID;NC;ND;NE;NF;NG;NH;NI;NJ;NK;NM;NP;NZ;SR;OA;OC;OD;OM;ON;OP;OW;OZ,,
NG,NG,SASB Art Division,ID;NC;ND;NE;NF;NG;NH;NI;NJ;NK;NM;NP;NZ;SR;OA;OC;OD;OM;ON;OP;OW;OZ,false,0001
NH,NH,SASB Rose Main Reading Room,NC;ND;NE;NF;NG;NH;NI;NJ;NK;NM;NN;NO;NP;NR;NS;NT;NV;NX;NY;NZ;SA;SM;SP;SR;IN;OA;OC;OL;ON;OW;OZ;OP;OM;OI;OD;OE,true,0001
NI,NI,LSC Special Formats Processing,,false,0001
NJ,NJ,SASB Jewish Division,,false,0001
NK,NK,BKOPS Barcoding/Special Projects,,false,0001
NL,NL,SASB Restricted,NC;ND;NE;NF;NG;NH;NI;NJ;NK;NM;NN;NO;NP;NR;NS;NT;NV;NX;NY;NZ;SA;SM;SP;SR;IN;OA;OC;OL;ON;OW;OZ;OP;OM;OI;OD;OE,true,0001
NM,NM,SASB Milstein Division,,false,0001
NN,NN,LPA Reserve Film and Video,NN;NK;NP;NY;OL;OP,false,0001
NO,NO,SASB Manuscripts and Archives,NO;NC;NI;NK;NY;OL,false,0001
NP,NP,LPA,NP;NC;NE;NK;NI;NT;NV;NY;NX;IN;OI;OL;OP,true,0001
NQ,NQ,SASB Restricted,NC;ND;NE;NF;NG;NH;NI;NJ;NK;NM;NO;NR;NT;NX;NY;NZ;OZ;OA;OC;OL;ON;OW;OI;OD;OE,true,0001
NR,NR,SASB Rare Book Division,,false,0001
NS,NS,Schomburg Center MARB,NS;NC;NI;NK;NX;IN;SA;SM;SP;NY;SR;OL;OM,false,0001
NT,NT,Permissions & Reproduction Services (SASB),,false,0001
NU,NU,LBL Restricted,NU;NK;NO;NY;OL;OX,false,0001
NV,NV,LPA TOFT,NP;NC;NI;NK;NV;NY;OL,false,0001
NW,NW,Donnell Children's Room,NC;ND;NE;NF;NG;NH;NI;NJ;NK;NM;NN;NO;NP;NR;NS;NT;NV;NX;NY;NZ;SA;SM;SP;SR;IN;OA;OC;OL;ON;OW;OZ;OP;OM;OI;OD;OE,true,0001
NX,NX,Preservation,NX;NK;OL;OZ,false,0001
NY,NY,LSC ARCHV,,false,0001
NZ,NZ,SASB Pforzheimer,,false,0001
OA,OA,SASB Allen Room,,false,0001
OB,OB,SIBL no Sierra holds,,false,0001
OC,OC,SASB Cullman Center,,false,0001
OD,OD,SASB Scholar Room 217,,false,0001
OE,OE,SASB Scholar Room 223,,false,
OH,OH,Oral History,,false,0002
OI,OI,LSC DIU,,false,0001
OL,OL,Media Preservation Lab,,false,0001
OM,OM,Schomburg Gen. no Sierra holds,,false,0001
ON,ON,SASB Shoichi Noma Scholar Room,,false,0001
OP,OP,LPA no Sierra holds,,false,0001
OS,OS,SASB no Sierra holds (discontinued),,false,0001
OW,OW,SASB Wertheim Study,,false,0001
OZ,OZ,SASB no Sierra holds,,false,0001
PA,PA,Firestone LIbrary,NC;ND;NE;NF;NG;NH;NI;NJ;NK;NM;NN;NO;NP;NR;NS;NT;NV;NX;NY;NZ;SA;SM;SP;SR;OA;OC;OL;ON;OW;OD;OE,true,0003
PB,PB,Firestone Library Use Only,,true,0003
PE,PE,Princeton Dark Storage,,false,0003
PF,PF,"Firestone Library, Microforms",NC;ND;NE;NF;NG;NH;NI;NJ;NK;NM;NN;NO;NP;NR;NS;NT;NV;NX;NY;NZ;SA;SM;SP;SR;OA;OC;OL;ON;OW;OD;OE,true,0003
PG,PG,Rare Books,,false,0003
PH,PH,Mudd Manuscript Library,,false,0003
PJ,PJ,Marquand Library,NG,true,0003
PK,PK,Mendel Music Library,,true,0003
PL,PL,East Asian Library,,false,0003
PM,PM,Stokes Library,,true,0003
PN,PN,Lewis Library,,true,0003
PQ,PQ,Plasma Physics Library,,true,0003
PS,PS,Lewis Library Rare,,false,0003
PT,PT,Engineering Library,,true,0003
PV,PV,PV,NG,false,0003
PW,PW,Architecture Library,,true,0003
PZ,PZ,Marquand Library Rare,,false,0003
QA,QA,Firestone Library Resource Sharing (Staff only),,false,0003
QB,QB,QB,,false,0003
QC,QC,"Technical Services, Holdings Management (staff only)",,false,0003
QD,QD,QD,,false,0003
QK,QK,Mendel Music Sound & Video Recordings,NP,false,0003
QL,QL,East Asian Microforms,,false,0003
QN,QN,QN,,false,0003
QP,QP,ReCAP/Princeton Preservation,,false,0003
QT,QT,Technical Services. 693 (Staff Only),,false,0003
QV,QV,Video Collection,,false,0003
QX,QX,Firestone Library. Shared,,false,0003
RH,RH,Human Rights Watch,,false,0002
ROB,,,ID;NC;ND;NE;NF;NG;NH;NI;NJ;NK;NM;NP;NZ;SR;OA;OC;OD;OM;ON;OP;OW;OZ,,
RR,RR,ReCAP Reading Room,,false,0003
RS,RS,Rare Books & Manuscripts,,false,0002
